image,n_actions,base_tp_f1,base_tp_precision,base_tp_recall,base_net_f1,base_percomp,base_strict,fix_tp_f1,fix_tp_precision,fix_tp_recall,fix_net_f1,fix_percomp,fix_strict
circuit_1.jpg,0,0.46875,0.47619047619047616,0.46153846153846156,0.6470588235294118,0.0,0,0.46875,0.47619047619047616,0.46153846153846156,0.6470588235294118,0.0,0
circuit_1016.jpg,0,0.4714285714285715,0.5238095238095238,0.42857142857142855,0.676056338028169,0.0,0,0.4714285714285715,0.5238095238095238,0.42857142857142855,0.676056338028169,0.0,0
circuit_1018.jpg,0,0.6153846153846153,0.7272727272727273,0.5333333333333333,0.7272727272727273,0.16666666666666666,0,0.6153846153846153,0.7272727272727273,0.5333333333333333,0.7272727272727273,0.16666666666666666,0
circuit_1074.jpg,0,0.3728813559322034,0.532258064516129,0.28695652173913044,0.6296296296296297,0.10714285714285714,0,0.3728813559322034,0.532258064516129,0.28695652173913044,0.6296296296296297,0.10714285714285714,0
circuit_1076.jpg,0,0.26315789473684215,0.43478260869565216,0.18867924528301888,0.5531914893617021,0.08333333333333333,0,0.26315789473684215,0.43478260869565216,0.18867924528301888,0.5531914893617021,0.08333333333333333,0
circuit_1077.jpg,0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1
circuit_1079.jpg,8,0.4132231404958678,0.4807692307692308,0.36231884057971014,0.673469387755102,0.08695652173913043,0,0.5413533834586465,0.5625,0.5217391304347826,0.7755102040816326,0.21739130434782608,0
circuit_1087.jpg,0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1
circuit_1093.jpg,0,0.6956521739130435,0.6896551724137931,0.7017543859649122,0.7714285714285715,0.15789473684210525,0,0.6956521739130435,0.6896551724137931,0.7017543859649122,0.7714285714285715,0.15789473684210525,0
circuit_1094.jpg,0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1
circuit_1097.jpg,0,0.43902439024390244,0.34615384615384615,0.6,0.717948717948718,0.2,0,0.43902439024390244,0.34615384615384615,0.6,0.717948717948718,0.2,0
circuit_1111.jpg,0,0.2054794520547945,0.32608695652173914,0.15,0.5319148936170213,0.125,0,0.2054794520547945,0.32608695652173914,0.15,0.5319148936170213,0.125,0
circuit_1121.jpg,0,0.5263157894736842,0.45454545454545453,0.625,0.6666666666666667,0.42857142857142855,0,0.5263157894736842,0.45454545454545453,0.625,0.6666666666666667,0.42857142857142855,0
circuit_1122.jpg,0,0.8412698412698412,0.9298245614035088,0.7681159420289855,0.9166666666666666,0.42105263157894735,0,0.8412698412698412,0.9298245614035088,0.7681159420289855,0.9166666666666666,0.42105263157894735,0
circuit_1124.jpg,1,0.8159999999999998,0.9107142857142857,0.7391304347826086,0.8732394366197184,0.5263157894736842,0,0.8159999999999998,0.9107142857142857,0.7391304347826086,0.8732394366197184,0.5263157894736842,0
circuit_1127.jpg,0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1
circuit_113.jpg,1,0.3401360544217687,0.5319148936170213,0.25,0.6521739130434782,0.16666666666666666,0,0.3866666666666667,0.58,0.29,0.6956521739130436,0.25,0
