image,topology_violations,n_extra_lines,ground_case,ground_mapped_gt_net,ground_ambiguous,ground_correct
circuit_649.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_658.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_665.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_678.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_689.jpg,,1,gauge_gnd_symbol,0|n1,1,0
circuit_690.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_707.jpg,,0,assumed,n3,0,0
circuit_709.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_720.jpg,,1,gauge_gnd_symbol,0|n5,1,0
circuit_726.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_730.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_733.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_743.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_748.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_750.jpg,,2,gauge_gnd_symbol,0|n5,1,0
circuit_755.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_760.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_769.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_775.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_784.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_795.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_808.jpg,,2,gauge_gnd_symbol,0|n8,1,0
circuit_816.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_820.jpg,,1,gauge_gnd_symbol,0|n4,1,0
circuit_823.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_832.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_833.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_835.jpg,,1,gauge_gnd_symbol,0|n6,1,0
circuit_836.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_856.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_862.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_869.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_87.jpg,,2,gauge_gnd_symbol,n1,0,0
circuit_884.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_885.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_886.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_895.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_897.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_9.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_901.jpg,,0,gauge_gnd_symbol,n4,0,0
circuit_904.jpg,,2,gauge_gnd_symbol,0|n4,1,0
circuit_910.jpg,,0,gauge_gnd_symbol,n1,0,0
circuit_925.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_926.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_931.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_932.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_937.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_953.jpg,,5,gauge_gnd_symbol,0,0,1
circuit_957.jpg,,1,gauge_gnd_symbol,0|n6,1,0
circuit_961.jpg,,4,gauge_gnd_symbol,0|n2,1,0
circuit_963.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_968.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_972.jpg,,1,gauge_gnd_symbol,n5,0,0
circuit_975.jpg,,1,gauge_gnd_symbol,0|n1,1,0
circuit_979.jpg,,1,gauge_gnd_symbol,0|n7,1,0
circuit_980.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_986.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_992.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_995.jpg,,1,gauge_gnd_symbol,0|n5,1,0
