epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.90141,2.22528,4.24321,1.44629,0.38277,0.39899,0.27673,0.17023,1.39772,2.62772,1.12803,0.000153,0.000153,0.000153
2,8.60455,1.23874,1.29607,0.98429,0.702,0.77954,0.76456,0.5331,1.07354,1.12465,0.95828,0.000310638,0.000310638,0.000310638
3,12.1434,1.12563,0.93688,0.95222,0.74968,0.79254,0.81185,0.5532,1.11648,1.12524,0.97062,0.000467229,0.000467229,0.000467229
4,15.4503,1.10075,0.78954,0.95272,0.78556,0.84664,0.86546,0.49966,1.47548,0.91891,1.1086,0.000471288,0.000471288,0.000471288
5,18.9086,1.07615,0.7206,0.94579,0.91155,0.93046,0.96058,0.66671,1.15683,0.65622,0.99521,0.000469717,0.000469717,0.000469717
6,22.3701,1.06609,0.66732,0.93636,0.91342,0.91067,0.96174,0.69101,1.0434,0.63685,0.95666,0.000468146,0.000468146,0.000468146
7,25.4834,1.0371,0.62277,0.93265,0.94002,0.94156,0.97832,0.7214,0.96888,0.53938,0.92918,0.000466575,0.000466575,0.000466575
8,28.5927,1.0105,0.5821,0.92074,0.94114,0.95185,0.97685,0.67379,1.11401,0.53421,0.96662,0.000465004,0.000465004,0.000465004
9,31.5192,1.02347,0.56803,0.92657,0.96343,0.95863,0.97857,0.73009,0.95716,0.49541,0.92876,0.000463434,0.000463434,0.000463434
10,35.1013,1.0071,0.56841,0.92477,0.9568,0.96852,0.97655,0.72804,0.97529,0.49565,0.92781,0.000461863,0.000461863,0.000461863
11,38.9346,0.98471,0.55681,0.91877,0.94868,0.94272,0.97387,0.71721,0.98413,0.49932,0.93117,0.000460292,0.000460292,0.000460292
12,41.9811,0.96768,0.54537,0.91203,0.95964,0.94903,0.98015,0.69237,1.04514,0.49957,0.94891,0.000458721,0.000458721,0.000458721
13,45.0784,0.96062,0.52254,0.91306,0.94968,0.97165,0.97624,0.73898,0.93649,0.46965,0.91979,0.00045715,0.00045715,0.00045715
14,48.3604,0.97215,0.5182,0.91984,0.92012,0.9489,0.97215,0.71816,0.98722,0.51601,0.93713,0.00045558,0.00045558,0.00045558
15,51.3346,0.94811,0.5068,0.9053,0.96199,0.95497,0.97964,0.73074,0.95386,0.45892,0.92053,0.000454009,0.000454009,0.000454009
16,54.5847,0.97339,0.49978,0.91041,0.97044,0.9624,0.98491,0.74552,0.93177,0.4398,0.92048,0.000452438,0.000452438,0.000452438
17,58.1744,0.9378,0.48809,0.90506,0.96538,0.96159,0.98023,0.73651,0.94023,0.43819,0.92316,0.000450867,0.000450867,0.000450867
18,61.1628,0.94883,0.49855,0.90961,0.94324,0.95858,0.9787,0.69477,1.04799,0.4852,0.94815,0.000449296,0.000449296,0.000449296
19,64.2457,0.93556,0.48645,0.90283,0.96212,0.96778,0.97994,0.72952,0.96511,0.4455,0.92608,0.000447726,0.000447726,0.000447726
20,67.2293,0.9284,0.48406,0.90392,0.96067,0.97869,0.97795,0.74009,0.92548,0.42386,0.91517,0.000446155,0.000446155,0.000446155
21,70.1968,0.93837,0.47686,0.90425,0.96767,0.95831,0.98018,0.74252,0.91309,0.44167,0.9219,0.000444584,0.000444584,0.000444584
22,73.1715,0.91253,0.47517,0.90563,0.9625,0.95804,0.97948,0.75015,0.90077,0.42509,0.91043,0.000443013,0.000443013,0.000443013
23,76.7247,0.90795,0.46982,0.90351,0.95971,0.96463,0.97949,0.74303,0.90912,0.43459,0.91677,0.000441442,0.000441442,0.000441442
24,79.9446,0.92177,0.46931,0.90299,0.9657,0.97128,0.98095,0.74183,0.91971,0.42055,0.91931,0.000439872,0.000439872,0.000439872
25,83.0254,0.90973,0.46279,0.90056,0.95536,0.97741,0.981,0.7298,0.96071,0.42737,0.92533,0.000438301,0.000438301,0.000438301
26,86.1784,0.92095,0.46149,0.90972,0.96131,0.97088,0.97639,0.74737,0.88771,0.41815,0.91261,0.00043673,0.00043673,0.00043673
27,89.144,0.89517,0.4521,0.89432,0.96958,0.97505,0.98098,0.7362,0.94406,0.41144,0.9179,0.000435159,0.000435159,0.000435159
28,92.0685,0.90746,0.45118,0.90089,0.96287,0.96654,0.9791,0.74741,0.89562,0.42266,0.91727,0.000433588,0.000433588,0.000433588
29,95.021,0.91232,0.45913,0.89752,0.96019,0.96835,0.978,0.74452,0.91707,0.41314,0.91293,0.000432018,0.000432018,0.000432018
30,97.9277,0.91685,0.45347,0.90783,0.96872,0.95965,0.98161,0.72558,0.97387,0.42524,0.92686,0.000430447,0.000430447,0.000430447
31,100.951,0.90991,0.45283,0.89848,0.96151,0.97447,0.97791,0.7407,0.92822,0.41844,0.91906,0.000428876,0.000428876,0.000428876
32,104.048,0.89606,0.45104,0.89702,0.96901,0.97409,0.98467,0.74443,0.92088,0.40887,0.91416,0.000427305,0.000427305,0.000427305
33,106.98,0.8911,0.43749,0.89355,0.96868,0.97491,0.98346,0.74423,0.91715,0.39856,0.91493,0.000425734,0.000425734,0.000425734
34,110.01,0.88227,0.43517,0.89038,0.974,0.97717,0.98032,0.74983,0.89343,0.39313,0.91183,0.000424164,0.000424164,0.000424164
35,112.943,0.87053,0.42795,0.89203,0.97187,0.97984,0.98128,0.74696,0.90836,0.38888,0.91042,0.000422593,0.000422593,0.000422593
36,116.155,0.87054,0.43514,0.88937,0.9669,0.97089,0.9777,0.73747,0.93177,0.39667,0.91459,0.000421022,0.000421022,0.000421022
37,119.386,0.89069,0.43496,0.89532,0.97318,0.97686,0.98257,0.70351,1.05963,0.41917,0.949,0.000419451,0.000419451,0.000419451
38,122.355,0.87885,0.42931,0.89124,0.96143,0.97916,0.98016,0.66945,1.13618,0.45047,0.9779,0.00041788,0.00041788,0.00041788
39,125.45,0.87887,0.42898,0.89287,0.96487,0.97839,0.97854,0.73714,0.93021,0.40187,0.91687,0.00041631,0.00041631,0.00041631
40,128.539,0.86602,0.42093,0.88563,0.97524,0.97433,0.97968,0.73153,0.9582,0.39987,0.92128,0.000414739,0.000414739,0.000414739
41,131.489,0.85772,0.42426,0.88333,0.9707,0.97469,0.97624,0.75267,0.88621,0.39198,0.90753,0.000413168,0.000413168,0.000413168
42,134.796,0.86304,0.4219,0.89117,0.97109,0.97418,0.97945,0.74058,0.92403,0.39243,0.91351,0.000411597,0.000411597,0.000411597
43,137.695,0.84198,0.42125,0.88085,0.94481,0.96645,0.9773,0.70842,0.98298,0.42006,0.93197,0.000410026,0.000410026,0.000410026
44,140.615,0.85595,0.41387,0.88773,0.97156,0.96926,0.97976,0.75201,0.89304,0.39069,0.91122,0.000408456,0.000408456,0.000408456
45,143.589,0.87796,0.42165,0.88873,0.95269,0.96817,0.97099,0.73393,0.91383,0.3983,0.91922,0.000406885,0.000406885,0.000406885
46,146.681,0.85263,0.41221,0.88383,0.97449,0.97828,0.98042,0.73968,0.92279,0.38476,0.91692,0.000405314,0.000405314,0.000405314
47,149.654,0.8451,0.41142,0.88473,0.97274,0.97331,0.97841,0.7018,1.02494,0.41026,0.94299,0.000403743,0.000403743,0.000403743
48,152.911,0.84181,0.4131,0.88854,0.96966,0.97899,0.97988,0.74656,0.91507,0.39041,0.91776,0.000402172,0.000402172,0.000402172
49,156.336,0.87295,0.41617,0.88633,0.9727,0.97737,0.98092,0.73934,0.92445,0.39123,0.92096,0.000400602,0.000400602,0.000400602
50,159.407,0.85629,0.40955,0.88467,0.97101,0.97766,0.98125,0.7275,0.96257,0.39078,0.92697,0.000399031,0.000399031,0.000399031
51,162.282,0.83063,0.40215,0.88235,0.97304,0.98,0.98033,0.72835,0.96036,0.38758,0.92577,0.00039746,0.00039746,0.00039746
52,165.352,0.8228,0.396,0.87943,0.97369,0.97579,0.98241,0.73476,0.96793,0.39072,0.92671,0.000395889,0.000395889,0.000395889
53,168.435,0.82311,0.40162,0.87884,0.96922,0.97719,0.98159,0.73513,0.93793,0.3939,0.91942,0.000394318,0.000394318,0.000394318
54,171.356,0.84078,0.4022,0.88015,0.96127,0.97242,0.97949,0.75076,0.88675,0.38363,0.91072,0.000392748,0.000392748,0.000392748
