image,load,detect,class_head,textmask,wiremask,wires,stitch,nodes,snapping,conn_repair,netlist,repair,other,export,total,n_components,n_detections
circuit_1028.jpg,0.003944083990063518,0.0005942080024397001,0.1780212500016205,0.009363292003399692,0.00013295799726620317,0.030900167010258883,0.013616458003525622,0.014180791011312976,0.0031881250033620745,0.00015370899927802384,1.9500002963468432e-05,0.0001320000010309741,0.0009424999734619632,0.0001712500088615343,0.25536029200884514,14,24
circuit_1045.jpg,0.0036810419987887144,0.0004371249960968271,0.01563137500488665,0.008691125010955147,0.00010533300519455224,0.034666124993236735,0.021634375996654853,0.0051546249887906015,0.001397375002852641,3.275000199209899e-05,1.1583993909880519e-05,5.895800131838769e-05,0.0006684149993816391,0.00018737500067800283,0.09235758299473673,7,7
circuit_1048.jpg,0.0031762910075485706,0.00043091599945910275,0.19308595900656655,0.009466832998441532,0.00016524999227840453,0.03743058400868904,0.056622290998348035,0.008792583001195453,0.08827779100101907,6.550000398419797e-05,2.779200440272689e-05,0.00016854199930094182,0.0008102089777821675,0.0004327079950599,0.3989532489940757,24,26
circuit_1052.jpg,0.0030318339995574206,0.0005477910017361864,0.016410791999078356,0.009540125000057742,0.00016825000056996942,0.03431304199330043,0.03790645799017511,0.005660333001287654,0.0021327920112526044,5.325001257006079e-05,1.8040998838841915e-05,7.449999975506216e-05,0.00044512499880511314,0.0005029169988119975,0.11080525000579655,7,7
circuit_1059.jpg,0.003638249996583909,0.00041799999598879367,0.15547020800295286,0.009435708008822985,0.00013333400420378894,0.028450625002733432,0.01364683399151545,0.022071667001000606,0.006424125007470138,0.019912458999897353,2.5165994884446263e-05,0.00012095899728592485,0.0008978739933809265,0.00036550000368151814,0.26101070900040213,14,21
circuit_1080.jpg,0.00463037499866914,0.0005094999942230061,0.1343266250041779,0.009022083002491854,0.00013729100464843214,0.03857150000112597,0.056243916013045236,0.008511457999702543,0.0431748340051854,5.154100654181093e-05,5.3458992624655366e-05,0.00010629200551193208,0.0006529589736601338,0.0003778340033022687,0.2963696670049103,17,18
circuit_1095.jpg,0.0035518330114427954,0.0005620419979095459,0.14008941600332037,0.008924167006625794,0.00014079200627747923,0.0398476669943193,0.07177824999962468,0.006605333008337766,0.004267500000423752,5.116700776852667e-05,2.0208011846989393e-05,0.00013750001380685717,0.0004332499374868348,0.00020300000323913991,0.2766121250024298,19,19
circuit_1103.jpg,0.0034153330052504316,0.00046666699927300215,0.013993250002386048,0.00951550000172574,0.00010458299948368222,0.03369629100780003,0.05235108299530111,0.005355999994208105,0.0010042089998023584,2.3542001144960523e-05,9.791998309083283e-06,5.08339871885255e-05,0.0003931660030502826,0.00015624999650754035,0.1205364999914309,5,5
circuit_115.jpg,0.004040999992867,0.0004632920026779175,0.02345249999780208,0.008770582993747666,0.00011583299783524126,0.03492508300405461,0.040270000987220556,0.013904041014029644,0.00856037499033846,0.017658835000474937,1.491699367761612e-05,6.941700121387839e-05,0.0005911230255151168,0.00048025000432971865,0.15331725000578444,10,10
circuit_1150.jpg,0.0017512920021545142,0.00045279201003722847,0.020605541998520494,0.009777166007552296,0.0001138340012403205,0.028903415994136594,0.02523570801713504,0.006159750002552755,0.0018149999959859997,2.808299905154854e-05,1.3375014532357454e-05,6.64590043015778e-05,0.0008384999528061599,0.0009762080007931218,0.0967371250008,8,8
