image,load,detect,class_head,textmask,wiremask,wires,stitch,nodes,snapping,conn_repair,netlist,repair,other,export,total,n_components,n_detections
circuit_1028.jpg,0.0021920840081293136,0.17307183299271856,0.18460574999335222,0.009583249993738718,0.00015733300824649632,0.03082883299794048,0.014476999989710748,0.016357083994080313,0.0030578749865526333,0.00013404199853539467,1.9291997887194157e-05,0.00012499999138526618,0.0005765400564996526,0.00035887499689124525,0.43554479100566823,14,24
circuit_1045.jpg,0.001598709000973031,0.1642842080036644,0.01491320799686946,0.009585749998223037,0.00010870900587178767,0.033549665997270495,0.021188625003560446,0.0048859169910429046,0.0013732079969486222,2.6875000912696123e-05,9.459006832912564e-06,5.366600817069411e-05,0.0009850419883150607,0.000982291006948799,0.25354533300560433,7,7
circuit_1048.jpg,0.0019450830004643649,0.1703780419920804,0.18843629201001022,0.009468625008594245,0.00021149999520275742,0.037781916005769745,0.05591716701746918,0.008067832997767255,0.049709334009094164,6.858400593046099e-05,2.729300467763096e-05,0.00016770799993537366,0.00043628895946312696,0.0004131660098209977,0.5230288320162799,24,26
circuit_1052.jpg,0.0016309160128002986,0.1669628340023337,0.015731041989056394,0.00898954200965818,0.0001066249969881028,0.036601750005502254,0.03640941700723488,0.004579125001328066,0.0016222499980358407,3.1042000045999885e-05,1.2290998711250722e-05,6.020799628458917e-05,0.00037699997483287007,0.00019287499890197068,0.2733069169917144,7,7
circuit_1059.jpg,0.0021382920094765723,0.1702252499962924,0.15531625000585336,0.008740249992115423,0.00013141700765118003,0.027927584000281058,0.015617292010574602,0.035874498993507586,0.006690125010209158,0.023449541986337863,3.8541998947039247e-05,0.00013945800310466439,0.0006710399902658537,0.0003468749928288162,0.4473064159974456,14,21
circuit_1080.jpg,0.0019067079992964864,0.169304834009381,0.13923133301432244,0.008785749989328906,0.0001386660005664453,0.03308929099875968,0.055507666009361856,0.00751062500057742,0.03481933299917728,6.075001147110015e-05,3.720699169207364e-05,0.00010916600876953453,0.0005556299583986402,0.001044499993440695,0.45210145898454357,17,18
circuit_1095.jpg,0.0016090419958345592,0.16879241599235684,0.14300224999897182,0.009120332993916236,0.00021045900939498097,0.041122374997939914,0.0713768749992596,0.005983208000543527,0.003678458000649698,5.095799861010164e-05,2.0208011846989393e-05,0.000137166993226856,0.0004470429994398728,0.00045050001062918454,0.4460012920026202,19,19
circuit_1103.jpg,0.0015201670030364767,0.164988207994611,0.013930166998761706,0.008757792005781084,0.00010050000855699182,0.03243016700434964,0.052052291997824796,0.004735541995614767,0.0010269170015817508,2.3500004317611456e-05,9.374998626299202e-06,4.9417008995078504e-05,0.00037303999124560505,0.0002519169938750565,0.28024900100717787,5,5
circuit_115.jpg,0.001628582991543226,0.16572687499865424,0.024923458011471666,0.00926429100218229,0.00011875000200234354,0.03457812499254942,0.04033691699441988,0.014698541985126212,0.00807179301045835,0.018906665995018557,1.4332996215671301e-05,6.86249986756593e-05,0.0011858760117320344,0.0001540409866720438,0.3196768749767216,10,10
circuit_1150.jpg,0.0017075000068871304,0.16647087500314228,0.017651207992457785,0.009551375012961216,0.00012637500185519457,0.028613458009203896,0.025146334010059945,0.004805958000360988,0.0018010000057984143,2.7874993975274265e-05,1.4166987966746092e-05,6.37500052107498e-05,0.0005322919605532661,0.00031254198984242976,0.2568247089802753,8,8
circuit_1156.jpg,0.0016406250069849193,0.16908437499660067,0.14365991699742153,0.009560541991959326,0.00021645799279212952,0.03548866699566133,0.04521620800369419,0.011881459009600803,0.007230375005747192,0.010371874988777563,2.2875014110468328e-05,0.000141707991133444,0.0009865410102065653,0.0004762089956784621,0.4359778340003686,19,19
circuit_1175.jpg,0.002000209002289921,0.18810937501257285,0.22460775000217836,0.00930262501060497,0.00017558399122208357,0.04413004200614523,0.09077808300207835,0.011325874991598539,0.03896116699615959,8.312499267049134e-05,3.100000321865082e-05,0.0001557079958729446,0.000572414995986037,0.0004383750056149438,0.610671333008213,30,31
circuit_118.jpg,0.002507584009435959,0.16660141600004863,0.18083216701052152,0.009483125002589077,0.0002062499988824129,0.03525312499550637,0.06010620700544678,0.008145291998516768,0.04879524999705609,6.674999895039946e-05,2.779100032057613e-05,0.00016895800945349038,0.0004395849828142673,0.00023516701185144484,0.5128686670213938,23,25
circuit_1182.jpg,0.001361000002361834,0.1652374580007745,0.01335133399697952,0.009262541003408842,0.0001650420017540455,0.034954208007548004,0.043890041997656226,0.004700624995166436,0.001186542009236291,3.0625000363215804e-05,1.1376003385521472e-05,5.454198981169611e-05,0.0010603319969959557,0.00017758300236891955,0.275443250007811,6,6
circuit_1184.jpg,0.0022223329870030284,0.16890970899839886,0.16950445900147315,0.008871666999766603,0.00013241601118352264,0.025348041992401704,0.0017549999902257696,0.011885624990100041,0.0028255000070203096,0.00016704099834896624,2.1875006495974958e-05,8.958300168160349e-05,0.0007867500244174153,0.00023354099539574236,0.3927535410039127,14,22
circuit_1187.jpg,0.0015661250072298571,0.16857191699091345,0.1427441250125412,0.009885374995064922,0.00020900000527035445,0.0376937499968335,0.056940124995890073,0.006055582998669706,0.0038101670070318505,5.037499067839235e-05,2.0626001060009003e-05,0.00013575000048149377,0.0013246650050859898,0.0002232919941889122,0.4292308750009397,19,19
circuit_1195.jpg,0.0016489999979967251,0.16259054200781975,0.018742916989140213,0.008992125003715046,0.00011049999739043415,0.027299709006911144,0.029299917005118914,0.004539832996670157,0.0016625830030534416,3.341700357850641e-05,1.3209006283432245e-05,6.958299491088837e-05,0.000659664990962483,0.00018970899691339582,0.25585270900046453,8,8
circuit_1197.jpg,0.0020916250068694353,0.16649658299866132,0.01643562500248663,0.009399290996952914,0.00010958299390040338,0.03392400000302587,0.033148583010188304,0.00513729099475313,0.0017219580040546134,2.8041991754435003e-05,1.2249001883901656e-05,6.641700747422874e-05,0.001196835990413092,0.00019491600687615573,0.26996299900929444,7,7
circuit_1207.jpg,0.002087417000439018,0.16539716599800158,0.15271762499469332,0.00959274999331683,0.00019224999414291233,0.031128167000133544,0.03697029199975077,0.011444874995504506,0.0028348339983494952,0.00011041600373573601,2.995801332872361e-05,9.049999061971903e-05,0.0006836670218035579,0.00020850000146310776,0.4134884170052828,13,21
circuit_1222.jpg,0.001879207993624732,0.16601066700241063,0.12857687499490567,0.008853541003190912,0.00013337499694898725,0.03513004200067371,0.0674987499951385,0.02659870800562203,0.10161654200055636,0.04093220899812877,2.6833004085347056e-05,0.00014674999692942947,0.00042408301669638604,0.0009706249984446913,0.5787982080073562,15,17
circuit_1234.jpg,0.001618290989426896,0.16074258300068323,0.015036084005259909,0.009722707996843383,0.00017304200446233153,0.039179458006401546,0.06372525000188034,0.003944540992961265,0.0012043749884469435,2.4707987904548645e-05,1.0541014489717782e-05,5.4665986681357026e-05,0.0010496280156075954,0.0001830830005928874,0.29666895799164195,6,6
circuit_1238.jpg,0.0022718330001225695,0.1736301659984747,0.18825970898615196,0.010644125010003336,0.0001755840057739988,0.0471555419935612,0.06820095800503623,0.00578387500718236,0.0336017920053564,5.900001269765198e-05,2.5708999601192772e-05,0.0001728750066831708,0.0006285399722401053,0.00024008301261346787,0.5308497910154983,24,24
circuit_1240.jpg,0.0018934169929707423,0.15822279200074263,0.1726736659911694,0.008751999994274229,0.00015454099047929049,0.03340333300002385,0.07104804200935178,0.0041707090131239966,0.02985150000313297,6.325000140350312e-05,2.662499900907278e-05,0.00017800000205170363,0.0004755420086439699,0.001103458009310998,0.48201687501568813,24,24
circuit_1247.jpg,0.0020278750016586855,0.1632439590030117,0.17589854200195987,0.009592166999937035,0.00016158299695234746,0.03905633398971986,0.06718625000212342,0.006313082994893193,0.04903354198904708,6.837499677203596e-05,4.533299943432212e-05,0.00016583300021011382,0.00046704102715011686,0.0002687920059543103,0.5135287090088241,22,24
circuit_1253.jpg,0.0014983329892857,0.16589645799831487,0.024585125007433817,0.009106832992983982,0.00011875000200234354,0.03332354199665133,0.040155416005291045,0.0037164170062169433,0.0022076659952290356,3.700000524986535e-05,1.4748991816304624e-05,7.775000995025039e-05,0.0007927529950393364,0.0002150410000467673,0.2817458329955116,12,12
circuit_1259.jpg,0.0016328750061802566,0.16054479200101923,0.01943445799406618,0.008839041998726316,0.00011054199421778321,0.030116624999209307,0.036916625016601756,0.004710334003902972,0.0017219159926753491,2.937499084509909e-05,1.274999522138387e-05,6.387499161064625e-05,0.0004362490144558251,0.00019366700144018978,0.2647631250001723,8,8
circuit_1264.jpg,0.002110625006025657,0.16308241699880455,0.13322649999463465,0.009333417008747347,0.00013412500265985727,0.030453750005108304,0.0328171670116717,0.007533832991612144,0.036436833994230255,5.3041992941871285e-05,2.333299198653549e-05,0.00013841599866282195,0.0005772489967057481,0.00022808399808127433,0.4161487919918727,16,18
circuit_1273.jpg,0.002312291006091982,0.16380399999616202,0.18064233398763463,0.009661082993261516,0.0001580420066602528,0.03783225000370294,0.07104600001184735,0.0061940410087117925,0.04548641698784195,6.983400089666247e-05,2.4291002773679793e-05,0.00016658300592098385,0.0004869169933954254,0.0010790420055855066,0.5189631250104867,23,25
