image,n_cut_px,base_tp_f1,base_tp_precision,base_tp_recall,base_net_f1,base_percomp,base_strict,base_unmatched_gt,cut_tp_f1,cut_tp_precision,cut_tp_recall,cut_net_f1,cut_percomp,cut_strict,cut_unmatched_gt
circuit_1.jpg,126,0.5172413793103449,0.5882352941176471,0.46153846153846156,0.735294117647059,0.0,0,2,0.5309734513274336,0.625,0.46153846153846156,0.735294117647059,0.0,0,2
circuit_1016.jpg,331,0.4714285714285715,0.5238095238095238,0.42857142857142855,0.676056338028169,0.0,0,0,0.4748201438848921,0.532258064516129,0.42857142857142855,0.676056338028169,0.0,0,0
circuit_1018.jpg,152,0.6153846153846153,0.7272727272727273,0.5333333333333333,0.7272727272727273,0.16666666666666666,0,0,0.6666666666666667,0.8888888888888888,0.5333333333333333,0.7272727272727273,0.16666666666666666,0,0
circuit_1074.jpg,295,0.3529411764705882,0.5454545454545454,0.2608695652173913,0.6296296296296297,0.07142857142857142,0,0,0.25609756097560976,0.42857142857142855,0.1826086956521739,0.5370370370370371,0.0,0,0
circuit_1076.jpg,268,0.26315789473684215,0.43478260869565216,0.18867924528301888,0.5531914893617021,0.08333333333333333,0,0,0.22666666666666668,0.38636363636363635,0.16037735849056603,0.5106382978723404,0.041666666666666664,0,0
circuit_1077.jpg,0,1.0,1.0,1.0,1.0,1.0,1,0,1.0,1.0,1.0,1.0,1.0,1,0
circuit_1079.jpg,79,0.5217391304347826,0.6521739130434783,0.43478260869565216,0.7551020408163265,0.17391304347826086,0,1,0.5087719298245614,0.6444444444444445,0.42028985507246375,0.7346938775510203,0.13043478260869565,0,1
circuit_1087.jpg,0,1.0,1.0,1.0,1.0,1.0,1,0,1.0,1.0,1.0,1.0,1.0,1,0
circuit_1093.jpg,93,0.6956521739130435,0.6896551724137931,0.7017543859649122,0.7714285714285715,0.15789473684210525,0,2,0.6956521739130435,0.6896551724137931,0.7017543859649122,0.7714285714285715,0.15789473684210525,0,2
circuit_1094.jpg,0,1.0,1.0,1.0,1.0,1.0,1,0,1.0,1.0,1.0,1.0,1.0,1,0
circuit_1097.jpg,0,0.6976744186046512,0.5357142857142857,1.0,0.9047619047619047,0.4,0,0,0.6976744186046512,0.5357142857142857,1.0,0.9047619047619047,0.4,0,0
circuit_1111.jpg,380,0.2054794520547945,0.32608695652173914,0.15,0.5319148936170213,0.08333333333333333,0,0,0.2054794520547945,0.32608695652173914,0.15,0.5319148936170213,0.08333333333333333,0,0
circuit_1121.jpg,13,0.6,0.5,0.75,0.7692307692307693,0.2857142857142857,0,0,0.6,0.5,0.75,0.7692307692307693,0.2857142857142857,0,0
circuit_1122.jpg,16,0.8412698412698412,0.9298245614035088,0.7681159420289855,0.9166666666666666,0.42105263157894735,0,0,0.8412698412698412,0.9298245614035088,0.7681159420289855,0.9166666666666666,0.42105263157894735,0,0
circuit_1124.jpg,0,0.9047619047619047,1.0,0.8260869565217391,0.9444444444444444,0.5789473684210527,0,0,0.9047619047619047,1.0,0.8260869565217391,0.9444444444444444,0.5789473684210527,0,0
circuit_1127.jpg,0,1.0,1.0,1.0,1.0,1.0,1,0,1.0,1.0,1.0,1.0,1.0,1,0
circuit_113.jpg,170,0.410958904109589,0.6521739130434783,0.3,0.6595744680851063,0.16666666666666666,0,0,0.36619718309859156,0.6190476190476191,0.26,0.5957446808510638,0.08333333333333333,0,0
circuit_1133.jpg,0,0.8235294117647058,0.7,1.0,0.8846153846153846,0.46153846153846156,0,0,0.8235294117647058,0.7,1.0,0.8846153846153846,0.46153846153846156,0,0
circuit_1134.jpg,0,0.4682926829268293,0.3057324840764331,1.0,0.6071428571428571,0.0,0,0,0.4682926829268293,0.3057324840764331,1.0,0.6071428571428571,0.0,0,0
circuit_1135.jpg,0,1.0,1.0,1.0,1.0,1.0,1,0,1.0,1.0,1.0,1.0,1.0,1,0
circuit_1145.jpg,0,1.0,1.0,1.0,1.0,1.0,1,0,1.0,1.0,1.0,1.0,1.0,1,0
circuit_1153.jpg,63,0.611764705882353,0.9454545454545454,0.45217391304347826,0.7962962962962963,0.5,0,0,0.611764705882353,0.9454545454545454,0.45217391304347826,0.7962962962962963,0.5,0,0
circuit_1162.jpg,0,0.9137931034482759,0.9137931034482759,0.9137931034482759,0.9705882352941176,0.6666666666666666,0,1,0.9137931034482759,0.9137931034482759,0.9137931034482759,0.9705882352941176,0.6666666666666666,0,1
circuit_1166.jpg,0,1.0,1.0,1.0,1.0,1.0,1,0,1.0,1.0,1.0,1.0,1.0,1,0
