image,node,net_a,net_b,path_len,straight,detour,frac_in_component_box,min_width,median_width,branch_sites_on_path
circuit_1244.jpg,n7,0,n8,568,478.2,1.19,0.0,1.91,1.91,3
circuit_1244.jpg,n7,n10,n8,111,110.2,1.01,0.0,1.91,1.91,0
circuit_1244.jpg,n9,0,n8,171,96.5,1.77,0.0,1.91,1.91,12
circuit_1244.jpg,n9,n7,n8,171,96.5,1.77,0.0,1.91,1.91,12
circuit_1244.jpg,n10,n8,n9,47,46.0,1.02,0.0,1.91,1.91,0
circuit_1244.jpg,n12,0,n9,20,19.0,1.05,0.0,1.91,1.91,0
circuit_1244.jpg,n11,0,n7,236,142.0,1.66,0.0,1.91,1.91,0
circuit_1244.jpg,0,0,n6,60,58.3,1.03,0.0,1.91,1.91,0
circuit_1252.jpg,0,0,n13,229,194.0,1.18,0.004,1.91,1.91,0
circuit_1252.jpg,0,n13,n8,670,632.0,1.06,0.001,1.91,1.91,2
