image,c_render_ok,c_unrouted_nets,c_bad_pins,c_foreign_intrusions,A_tp_f1,A_net_f1,A_percomp,B_tp_f1,B_net_f1,B_percomp,C_tp_f1,C_net_f1,C_percomp,D_tp_f1,D_net_f1,D_percomp
circuit_1.jpg,1,0,0,0,0.3779527559055118,0.5588235294117647,0.0,0.49586776859504134,0.6567164179104478,0.13333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
circuit_1016.jpg,1,0,0,0,0.25503355704697983,0.45714285714285713,0.0,0.39024390243902435,0.6060606060606061,0.0,0.9342105263157895,0.9705882352941176,0.6,1.0,1.0,1.0
circuit_1018.jpg,1,0,0,0,0.43478260869565216,0.6363636363636364,0.0,0.43478260869565216,0.6363636363636364,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_1074.jpg,0,1,0,1,0.4727272727272727,0.7676767676767676,0.32142857142857145,0.38418079096045193,0.7083333333333334,0.17857142857142858,,,,1.0,1.0,1.0
circuit_1076.jpg,0,6,1,0,0.0,0.0,0.0,0.029411764705882353,0.16393442622950818,0.0,,,,1.0,1.0,1.0
circuit_1077.jpg,1,0,0,0,0.8571428571428571,0.8461538461538461,1.0,0.5217391304347826,0.7500000000000001,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_1079.jpg,1,0,0,0,0.3434343434343434,0.5833333333333334,0.043478260869565216,0.33663366336633666,0.5833333333333334,0.043478260869565216,1.0,1.0,1.0,1.0,1.0,1.0
circuit_1087.jpg,1,0,0,0,0.6470588235294118,0.7647058823529412,0.3333333333333333,0.14285714285714285,0.45161290322580644,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_1093.jpg,0,0,1,1,0.5321100917431193,0.6857142857142857,0.0,0.6956521739130435,0.8055555555555556,0.2631578947368421,,,,1.0,1.0,1.0
circuit_1094.jpg,1,0,0,0,0.6666666666666665,0.7999999999999999,0.0,0.6666666666666665,0.7368421052631579,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_1097.jpg,1,0,0,0,0.29411764705882354,0.6111111111111113,0.1,0.3571428571428571,0.6470588235294117,0.1,0.8275862068965518,0.9473684210526315,0.6,1.0,1.0,1.0
circuit_1111.jpg,0,2,0,0,0.2714285714285714,0.6292134831460674,0.16666666666666666,0.36231884057971014,0.7294117647058823,0.3333333333333333,,,,1.0,1.0,1.0
circuit_1121.jpg,0,0,0,1,0.5263157894736842,0.6666666666666667,0.42857142857142855,0.5263157894736842,0.6666666666666667,0.42857142857142855,,,,1.0,1.0,1.0
circuit_1122.jpg,1,0,0,0,0.6782608695652174,0.8450704225352113,0.21052631578947367,0.8749999999999999,0.9577464788732395,0.5789473684210527,1.0,1.0,1.0,1.0,1.0,1.0
circuit_1124.jpg,1,0,0,0,0.8159999999999998,0.8732394366197184,0.5263157894736842,0.8159999999999998,0.8732394366197184,0.5263157894736842,1.0,1.0,1.0,1.0,1.0,1.0
circuit_1127.jpg,1,0,0,0,0.8,0.8666666666666667,0.375,0.36363636363636365,0.5333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0
circuit_113.jpg,0,6,0,0,0.061068702290076333,0.38554216867469876,0.0,0.03448275862068966,0.2622950819672131,0.0,,,,1.0,1.0,1.0
circuit_1133.jpg,1,0,0,0,0.3111111111111111,0.4680851063829788,0.0,0.42352941176470593,0.5957446808510638,0.0,1.0,1.0,1.0,1.0,1.0,1.0
