image,n_gt_nets,tp_precision,tp_recall,tp_f1,unmatched_gt,clean,welded,split,welded+split,lost_terminal,unmatched
circuit_1.jpg,9,0.5882,0.4615,0.5172,2,3,4,0,2,0,0
circuit_1016.jpg,8,0.5238,0.4286,0.4714,0,2,1,1,4,0,0
circuit_1018.jpg,3,0.7273,0.5333,0.6154,0,1,0,1,1,0,0
circuit_1074.jpg,14,0.5455,0.2609,0.3529,0,4,0,0,10,0,0
circuit_1076.jpg,12,0.4348,0.1887,0.2632,0,3,0,0,9,0,0
circuit_1077.jpg,5,1.0,1.0,1.0,0,5,0,0,0,0,0
circuit_1079.jpg,16,0.6522,0.4348,0.5217,1,8,2,3,3,0,0
circuit_1087.jpg,6,1.0,1.0,1.0,0,6,0,0,0,0,0
circuit_1093.jpg,10,0.6897,0.7018,0.6957,2,5,2,0,1,0,2
circuit_1094.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_1097.jpg,8,0.5357,1.0,0.6977,0,5,3,0,0,0,0
circuit_1111.jpg,13,0.3261,0.15,0.2055,0,3,1,0,9,0,0
circuit_1121.jpg,6,0.5,0.75,0.6,0,3,1,0,1,0,1
circuit_1122.jpg,9,0.9298,0.7681,0.8413,0,7,0,1,1,0,0
circuit_1124.jpg,9,1.0,0.8261,0.9048,0,8,0,1,0,0,0
circuit_1127.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_113.jpg,13,0.6522,0.3,0.411,0,7,1,1,3,0,1
circuit_1133.jpg,7,0.7,1.0,0.8235,0,5,1,0,0,0,1
circuit_1134.jpg,7,0.3057,1.0,0.4683,0,1,3,0,0,0,3
circuit_1135.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_1145.jpg,3,1.0,1.0,1.0,0,3,0,0,0,0,0
circuit_1153.jpg,14,0.9455,0.4522,0.6118,0,12,0,1,1,0,0
circuit_1162.jpg,9,0.9138,0.9138,0.9138,1,8,1,0,0,0,0
circuit_1166.jpg,16,1.0,1.0,1.0,0,16,0,0,0,0,0
circuit_1172.jpg,16,0.8734,1.0,0.9324,0,13,3,0,0,0,0
circuit_1183.jpg,3,0.5385,0.4118,0.4667,0,1,0,1,1,0,0
circuit_1194.jpg,13,0.6739,0.31,0.4247,0,8,1,1,3,0,0
circuit_1201.jpg,14,0.7794,0.6463,0.7067,0,12,0,0,2,0,0
circuit_1202.jpg,3,1.0,1.0,1.0,0,3,0,0,0,0,0
circuit_1203.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_1204.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_1205.jpg,4,1.0,1.0,1.0,0,4,0,0,0,0,0
circuit_1209.jpg,7,0.4128,1.0,0.5844,0,2,2,0,0,0,3
circuit_1233.jpg,9,0.6667,0.5231,0.5862,1,4,1,1,3,0,0
circuit_1239.jpg,5,0.7619,0.7619,0.7619,1,3,2,0,0,0,0
circuit_1241.jpg,14,1.0,1.0,1.0,0,14,0,0,0,0,0
circuit_1243.jpg,12,0.587,0.2547,0.3553,0,5,0,1,6,0,0
circuit_1244.jpg,13,0.3542,0.17,0.2297,2,3,3,2,5,0,0
circuit_125.jpg,5,1.0,1.0,1.0,0,5,0,0,0,0,0
