epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.31104,2.14936,3.77515,1.3839,0.53724,0.41847,0.38509,0.22253,1.46188,2.08903,1.08537,0.000153,0.000153,0.000153
2,7.78942,1.21549,1.23247,0.96792,0.72665,0.80346,0.80751,0.56196,1.08339,1.10405,0.94707,0.000310638,0.000310638,0.000310638
3,11.435,1.11168,0.91803,0.93797,0.82227,0.87336,0.88209,0.63384,1.02728,0.80411,0.93026,0.000467229,0.000467229,0.000467229
4,14.9491,1.09665,0.78056,0.93813,0.79948,0.82366,0.88626,0.54759,1.35296,0.90998,1.02972,0.000471288,0.000471288,0.000471288
5,18.39,1.07305,0.72459,0.93086,0.86475,0.90743,0.92883,0.64655,1.15753,0.70017,0.97304,0.000469717,0.000469717,0.000469717
6,22.4152,1.05123,0.66691,0.92154,0.9339,0.92247,0.96706,0.70403,1.02136,0.60322,0.93564,0.000468146,0.000468146,0.000468146
7,26.3142,1.02842,0.60841,0.91927,0.94714,0.96069,0.97976,0.72653,0.96895,0.52171,0.91834,0.000466575,0.000466575,0.000466575
8,29.8569,1.00267,0.58488,0.90725,0.92974,0.95912,0.97472,0.69217,1.047,0.52765,0.93391,0.000465004,0.000465004,0.000465004
9,32.9868,1.02159,0.58988,0.91668,0.95839,0.94507,0.97975,0.7231,0.98554,0.5214,0.92813,0.000463434,0.000463434,0.000463434
10,36.5044,1.00282,0.57536,0.91528,0.94605,0.97421,0.97996,0.72289,0.9888,0.4925,0.92406,0.000461863,0.000461863,0.000461863
11,39.8115,0.98634,0.54776,0.90834,0.94987,0.95687,0.97967,0.70631,1.01436,0.51004,0.92428,0.000460292,0.000460292,0.000460292
12,43.3454,0.96357,0.53723,0.90101,0.94762,0.96707,0.98087,0.69839,1.03836,0.50475,0.93687,0.000458721,0.000458721,0.000458721
13,46.5638,0.96341,0.5244,0.90578,0.96361,0.95709,0.97962,0.73055,0.98575,0.48452,0.92281,0.00045715,0.00045715,0.00045715
14,50.0885,0.95829,0.51448,0.9072,0.96277,0.96126,0.98003,0.73001,0.98091,0.4633,0.92341,0.00045558,0.00045558,0.00045558
15,53.4794,0.9524,0.50649,0.89771,0.96174,0.9544,0.98028,0.73741,0.95006,0.45833,0.91285,0.000454009,0.000454009,0.000454009
16,57.4153,0.99047,0.50622,0.90539,0.96142,0.9633,0.98017,0.69484,1.05867,0.46583,0.93702,0.000452438,0.000452438,0.000452438
17,60.4684,0.93802,0.48442,0.89585,0.96621,0.96313,0.98198,0.74335,0.91825,0.42519,0.90708,0.000450867,0.000450867,0.000450867
18,63.9399,0.94778,0.49015,0.90121,0.96355,0.97162,0.98183,0.71748,0.99878,0.44813,0.92464,0.000449296,0.000449296,0.000449296
19,67.056,0.9361,0.48821,0.89732,0.96489,0.97061,0.98033,0.73113,0.97179,0.44336,0.91693,0.000447726,0.000447726,0.000447726
20,70.1828,0.93371,0.4884,0.89645,0.95108,0.96685,0.97776,0.72611,0.96641,0.44942,0.91763,0.000446155,0.000446155,0.000446155
21,73.1633,0.93911,0.48165,0.8985,0.96088,0.96335,0.97704,0.73827,0.92072,0.45994,0.91464,0.000444584,0.000444584,0.000444584
22,76.1537,0.91465,0.48001,0.89744,0.96118,0.96626,0.98191,0.74902,0.90325,0.42342,0.90688,0.000443013,0.000443013,0.000443013
23,79.4287,0.90539,0.47662,0.89377,0.95335,0.96736,0.97965,0.74423,0.9155,0.44163,0.91265,0.000441442,0.000441442,0.000441442
24,82.9513,0.92036,0.46677,0.89702,0.96515,0.97686,0.98107,0.72038,0.98057,0.43306,0.92093,0.000439872,0.000439872,0.000439872
25,86.6487,0.90795,0.4572,0.89313,0.96487,0.96358,0.98189,0.73742,0.95299,0.4322,0.9139,0.000438301,0.000438301,0.000438301
26,90.4991,0.92405,0.46682,0.90061,0.96882,0.96682,0.98169,0.7514,0.89345,0.41342,0.9067,0.00043673,0.00043673,0.00043673
27,94.561,0.89547,0.44992,0.88817,0.96825,0.97332,0.98252,0.74239,0.93036,0.42021,0.9071,0.000435159,0.000435159,0.000435159
28,98.2062,0.91465,0.45629,0.8958,0.96032,0.97206,0.97955,0.75337,0.89724,0.42395,0.90734,0.000433588,0.000433588,0.000433588
29,101.69,0.95179,0.47669,0.89635,0.96358,0.97803,0.9831,0.74759,0.91993,0.42379,0.90944,0.000432018,0.000432018,0.000432018
30,104.642,0.91399,0.45144,0.89999,0.96979,0.97301,0.98213,0.71837,0.98692,0.41989,0.91977,0.000430447,0.000430447,0.000430447
31,107.59,0.89637,0.44378,0.89014,0.96561,0.96533,0.98065,0.75208,0.89385,0.40957,0.90948,0.000428876,0.000428876,0.000428876
