epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,134.814,0.86421,0.41848,0.88605,0.97506,0.97129,0.9802,0.73839,0.92865,0.3941,0.91024,0.000411597,0.000411597,0.000411597
43,138.16,0.84514,0.41784,0.87706,0.9563,0.96785,0.97787,0.70844,1.00859,0.41755,0.93081,0.000410026,0.000410026,0.000410026
44,141.618,0.86076,0.41681,0.88378,0.9676,0.97305,0.97931,0.74202,0.91565,0.39537,0.90586,0.000408456,0.000408456,0.000408456
45,144.814,0.87059,0.42057,0.8844,0.96623,0.96941,0.97775,0.73796,0.93458,0.3962,0.91235,0.000406885,0.000406885,0.000406885
46,148.455,0.85567,0.41073,0.8798,0.96708,0.97491,0.97979,0.74233,0.91662,0.39177,0.91331,0.000405314,0.000405314,0.000405314
47,152.001,0.84524,0.40937,0.87984,0.96357,0.96785,0.98032,0.74721,0.90309,0.38559,0.90481,0.000403743,0.000403743,0.000403743
48,155.296,0.84048,0.40721,0.88302,0.96256,0.97311,0.97692,0.74889,0.89646,0.39101,0.9102,0.000402172,0.000402172,0.000402172
49,158.367,0.8645,0.41406,0.87989,0.96963,0.97691,0.97741,0.74725,0.90533,0.38802,0.91279,0.000400602,0.000400602,0.000400602
50,161.408,0.85055,0.40983,0.8783,0.96215,0.97371,0.98152,0.73397,0.9476,0.39598,0.91396,0.000399031,0.000399031,0.000399031
51,164.329,0.84628,0.41088,0.88011,0.96711,0.9766,0.97828,0.71103,1.00163,0.39883,0.92686,0.00039746,0.00039746,0.00039746
52,167.246,0.81807,0.39615,0.87404,0.955,0.97201,0.97832,0.64932,1.17027,0.44699,0.97707,0.000395889,0.000395889,0.000395889
53,170.341,0.82954,0.39944,0.87497,0.97001,0.97633,0.97926,0.74022,0.93923,0.39295,0.91489,0.000394318,0.000394318,0.000394318
54,173.277,0.84843,0.40379,0.87734,0.95908,0.97501,0.98001,0.74789,0.90504,0.38609,0.90792,0.000392748,0.000392748,0.000392748
55,176.541,0.81408,0.39066,0.87378,0.96689,0.97505,0.97936,0.74396,0.9107,0.38534,0.91541,0.000391177,0.000391177,0.000391177
56,179.587,0.80393,0.39044,0.86979,0.97098,0.97627,0.98172,0.72495,0.96964,0.39663,0.9207,0.000389606,0.000389606,0.000389606
57,182.463,0.81432,0.39267,0.87851,0.96915,0.97401,0.97833,0.73203,0.93874,0.39059,0.91511,0.000388035,0.000388035,0.000388035
58,185.505,0.81956,0.39332,0.8737,0.96876,0.97303,0.98045,0.73816,0.942,0.3911,0.91661,0.000386464,0.000386464,0.000386464
59,188.937,0.83827,0.39719,0.87706,0.9754,0.97828,0.98292,0.70444,1.02318,0.39776,0.93439,0.000384894,0.000384894,0.000384894
60,192.309,0.81266,0.38718,0.87608,0.9746,0.97856,0.9853,0.7177,1.01771,0.3944,0.93998,0.000383323,0.000383323,0.000383323
61,195.528,0.83428,0.39465,0.8763,0.96997,0.97906,0.97995,0.73661,0.93181,0.39264,0.92509,0.000381752,0.000381752,0.000381752
62,198.666,0.83806,0.39813,0.87926,0.96292,0.97954,0.98244,0.75113,0.90171,0.37308,0.91109,0.000380181,0.000380181,0.000380181
63,202.132,0.7958,0.38242,0.86977,0.97192,0.97871,0.98285,0.74557,0.9225,0.37677,0.91172,0.00037861,0.00037861,0.00037861
64,205.324,0.79541,0.3806,0.86736,0.97388,0.98024,0.9843,0.74116,0.93275,0.38219,0.91504,0.00037704,0.00037704,0.00037704
65,208.579,0.80174,0.38509,0.87333,0.97466,0.97941,0.98442,0.70127,1.04463,0.40619,0.9465,0.000375469,0.000375469,0.000375469
66,211.525,0.81238,0.38617,0.87527,0.97475,0.97761,0.98276,0.72312,0.99295,0.38677,0.92641,0.000373898,0.000373898,0.000373898
67,214.544,0.8124,0.38155,0.87101,0.96645,0.9715,0.98049,0.74152,0.92123,0.37863,0.91229,0.000372327,0.000372327,0.000372327
68,217.438,0.79422,0.37619,0.86768,0.97302,0.97542,0.98095,0.74452,0.91953,0.37375,0.9122,0.000370756,0.000370756,0.000370756
69,220.425,0.78208,0.37236,0.86472,0.97343,0.97542,0.97963,0.72921,0.93836,0.37718,0.91597,0.000369186,0.000369186,0.000369186
70,223.522,0.77466,0.36883,0.861,0.97403,0.98075,0.98133,0.74243,0.92627,0.37179,0.91347,0.000367615,0.000367615,0.000367615
71,226.668,0.77756,0.36966,0.86588,0.97565,0.98024,0.98197,0.74701,0.90715,0.36539,0.91113,0.000366044,0.000366044,0.000366044
72,229.564,0.78611,0.3689,0.86816,0.97488,0.9801,0.98054,0.75123,0.8973,0.36803,0.90773,0.000364473,0.000364473,0.000364473
73,232.615,0.77496,0.36678,0.86617,0.97235,0.97623,0.98036,0.73121,0.94723,0.38002,0.92035,0.000362902,0.000362902,0.000362902
74,235.626,0.78317,0.36856,0.86919,0.97492,0.97614,0.98238,0.73275,0.94517,0.37609,0.91807,0.000361332,0.000361332,0.000361332
75,238.662,0.77154,0.36386,0.86328,0.97207,0.97785,0.98397,0.7508,0.90783,0.36734,0.90973,0.000359761,0.000359761,0.000359761
76,241.841,0.77907,0.37322,0.86575,0.97507,0.97785,0.98519,0.74391,0.93455,0.37789,0.91785,0.00035819,0.00035819,0.00035819
77,245.118,0.77126,0.37127,0.86714,0.97333,0.97922,0.98466,0.75426,0.91152,0.3726,0.91291,0.000356619,0.000356619,0.000356619
78,248.517,0.76425,0.36741,0.86089,0.97388,0.97488,0.97753,0.74236,0.9084,0.37448,0.91159,0.000355048,0.000355048,0.000355048
79,251.712,0.75556,0.36693,0.85962,0.96679,0.97342,0.97664,0.72809,0.94869,0.37991,0.91869,0.000353478,0.000353478,0.000353478
80,255.182,0.78335,0.37102,0.86275,0.96519,0.97828,0.98296,0.70529,1.02087,0.39447,0.94147,0.000351907,0.000351907,0.000351907
81,258.57,0.77252,0.36628,0.86361,0.97357,0.97091,0.98106,0.73354,0.94431,0.37667,0.91871,0.000350336,0.000350336,0.000350336
