image,load,detect,textmask,wiremask,wires,stitch,nodes,snapping,netlist,repair,export,total,n_components
circuit_1074.jpg,0.003541167010553181,0.0003055419947486371,0.0027118329890072346,0.0002522080030757934,0.011993874999461696,0.04717212499235757,0.002754041983280331,0.003388584009371698,2.3542001144960523e-05,0.00011470899335108697,0.0007234170043375343,0.07298104398068972,28
circuit_1076.jpg,0.004571375000523403,0.0002716250019147992,0.0029951670148875564,0.0001928750134538859,0.01222304199473001,0.047460083005717024,0.002734500012593344,0.002822416980052367,2.0625011529773474e-05,0.00011337499017827213,0.0003895410045515746,0.07379462503013201,24
circuit_1077.jpg,0.004100291000213474,0.0002454170025885105,0.0025244170101359487,0.0001705000177025795,0.0065633750054985285,0.016285208985209465,0.002887083013774827,0.004267042007995769,9.207986295223236e-06,4.129199078306556e-05,0.0006912079988978803,0.03778504201909527,7
circuit_1079.jpg,0.003516333003062755,0.00027795799542218447,0.002578624989837408,0.00024058300186879933,0.015329708025092259,0.06397825002204627,0.003358874993864447,0.002760583010967821,2.216699067503214e-05,0.0001345000055152923,0.0007370829989667982,0.09293466503731906,23
circuit_1087.jpg,0.00443091697525233,0.00029954101773910224,0.0030629589746240526,8.083399734459817e-05,0.006368292000843212,0.01616704199113883,0.0035343339841347188,0.004056249978020787,1.0083022061735392e-05,4.641700070351362e-05,0.0003986249794252217,0.0384552939212881,9
circuit_1093.jpg,0.0034565000096336007,0.00026333300047554076,0.0026218330021947622,0.00017695798305794597,0.009131083003012463,0.030799041996942833,0.0027586659998632967,0.0022953329898882657,1.6792007954791188e-05,8.787499973550439e-05,0.0006420830031856894,0.052249497995944694,18
circuit_1094.jpg,0.0018864170124288648,0.00023454197798855603,0.0025822920142672956,0.00014399999054148793,0.006047083006706089,0.01336554199224338,0.002566666982602328,0.0008507919847033918,8.665985660627484e-06,3.662501694634557e-05,0.000651500013191253,0.02837412597727962,6
circuit_1097.jpg,0.0037037500005681068,0.00024370898609049618,0.0030923750018700957,0.00018825000734068453,0.007451832992956042,0.020668124983785674,0.0027709999994840473,0.006148790998850018,1.3250013580545783e-05,7.766700582578778e-05,0.0004158340161666274,0.044774584006518126,12
circuit_1111.jpg,0.0027697090117726475,0.0003980839974246919,0.002916666999226436,0.0001863329962361604,0.011945957987336442,0.04323266597930342,0.00297724999836646,0.004031208984088153,1.9583996618166566e-05,0.0001112080062739551,0.0004512910090852529,0.06903995896573178,24
circuit_1121.jpg,0.0027817499940283597,0.00022529202396981418,0.0024369590100832283,0.0001399999891873449,0.006103166990214959,0.013666584010934457,0.003034749999642372,0.005874042020877823,1.0375020792707801e-05,4.350001108832657e-05,0.00041500001680105925,0.03473141908762045,7
circuit_1122.jpg,0.001721540989819914,0.0002882080152630806,0.0025547499826643616,9.912499808706343e-05,0.009145791991613805,0.03033858400885947,0.002675083000212908,0.0018635830201674253,1.8082995666190982e-05,9.420898277312517e-05,0.00043058302253484726,0.04922954100766219,19
