config,terminal_pair_f1,net_f1,per_component_acc,fragmentation
DEFAULT (baseline),0.5908,0.7343,0.3867,1.345
nodes.junction_threshold=0.7,0.6049,0.744,0.4054,1.317
nodes.junction_threshold=0.9,0.6091,0.7458,0.4139,1.317
nodes.method=crossover,0.6845,0.797,0.521,1.25
