config,terminal_pair_f1,net_f1,per_component_acc,fragmentation
DEFAULT (baseline),0.4486,0.6348,0.1449,1.31
nodes.junction_threshold=0.4,0.4486,0.6348,0.1449,1.31
nodes.junction_threshold=0.55,0.4532,0.6383,0.1511,1.286
nodes.junction_threshold=0.7,0.4582,0.6412,0.1526,1.25
