config,terminal_pair_f1,net_f1,per_component_acc,fragmentation
DEFAULT (baseline),0.5984,0.7318,0.469,1.385
nodes.vector.dot_ratio=2.2,0.5371,0.6919,0.3557,1.462
nodes.vector.link_gap=12,0.6135,0.7434,0.4855,1.345
nodes.method=crossover,0.6795,0.7993,0.5328,1.25
