metric,label,n_images,mean_a,mean_b,delta,ci95_lo,ci95_hi,wins,losses,ties,significant
terminal_pair_f1,terminal-pair F1,190,0.7678,0.7678,0.0,0.0,0.0,0,0,190,False
net_f1,net F1,190,0.8579,0.8579,0.0,0.0,0.0,0,0,190,False
per_component_connected_acc,per-component connected,190,0.5573,0.5573,0.0,0.0,0.0,0,0,190,False
nged,nGED,190,0.2307,0.2307,0.0,0.0,0.0,0,0,190,False
strict_success,strict success,190,0.4263,0.4263,0.0,0.0,0.0,0,0,190,False
solvable_before,DC-solvable (pre-repair),190,0.5263,0.5263,0.0,0.0,0.0,0,0,190,False
solvable_after,DC-solvable (post-repair),190,0.7632,0.7632,0.0,0.0,0.0,0,0,190,False
