metric,label,n_images,mean_a,mean_b,delta,ci95_lo,ci95_hi,wins,losses,ties,significant
terminal_pair_f1,terminal-pair F1,190,0.7076,0.7059,-0.0017,-0.013,0.0097,15,19,156,False
net_f1,net F1,190,0.8088,0.8075,-0.0013,-0.0107,0.0082,17,15,158,False
per_component_connected_acc,per-component connected,190,0.5652,0.5675,0.0023,-0.0187,0.0223,10,9,171,False
nged,nGED,190,0.2439,0.2451,0.0012,-0.0043,0.0079,13,14,163,False
strict_success,strict success,190,0.3526,0.3579,0.0053,-0.0158,0.0263,3,2,185,False
solvable_before,DC-solvable (pre-repair),190,0.5263,0.5316,0.0053,0.0,0.0158,1,0,189,False
solvable_after,DC-solvable (post-repair),190,0.7474,0.7474,0.0,-0.0211,0.0211,2,2,186,False
