metric,label,n_images,mean_a,mean_b,delta,ci95_lo,ci95_hi,wins,losses,ties,significant
terminal_pair_f1,terminal-pair F1,190,0.7834,0.7839,0.0005,-0.0001,0.0015,1,2,187,False
net_f1,net F1,190,0.8675,0.8679,0.0004,-0.0001,0.0014,1,2,187,False
per_component_connected_acc,per-component connected,190,0.5712,0.5726,0.0014,0.0,0.0042,1,0,189,False
nged,nGED,190,0.2306,0.231,0.0004,-0.0004,0.0017,2,1,187,False
strict_success,strict success,190,0.4368,0.4368,0.0,0.0,0.0,0,0,190,False
solvable_before,DC-solvable (pre-repair),190,0.5316,0.5316,0.0,0.0,0.0,0,0,190,False
solvable_after,DC-solvable (post-repair),190,0.7579,0.7579,0.0,0.0,0.0,0,0,190,False
