metric,label,n_images,mean_a,mean_b,delta,ci95_lo,ci95_hi,wins,losses,ties,significant
terminal_pair_f1,terminal-pair F1,190,0.7076,0.6777,-0.03,-0.0432,-0.0169,14,50,126,True
net_f1,net F1,190,0.8083,0.7933,-0.015,-0.0254,-0.0052,15,40,135,True
per_component_connected_acc,per-component connected,190,0.5692,0.5011,-0.068,-0.0972,-0.041,7,40,143,True
nged,nGED,190,0.1921,0.1857,-0.0063,-0.012,-0.0009,21,51,118,True
strict_success,strict success,190,0.3526,0.3105,-0.0421,-0.0737,-0.0158,0,8,182,True
solvable_before,DC-solvable (pre-repair),190,0.5211,0.5263,0.0053,-0.0263,0.0421,6,5,179,False
solvable_after,DC-solvable (post-repair),190,0.7421,0.7737,0.0316,-0.0158,0.0789,13,7,170,False
