label,run_dir,git_sha,config_hash,n_images,wires_method,stitch_masked_gaps,handle_crossovers,snapping_strategy,terminal_pair_f1,terminal_pair_f1_ci95_lo,terminal_pair_f1_ci95_hi,net_f1,net_f1_ci95_lo,net_f1_ci95_hi,per_component_connected_acc,per_component_connected_acc_ci95_lo,per_component_connected_acc_ci95_hi,nged,nged_ci95_lo,nged_ci95_hi,strict_success,strict_success_ci95_lo,strict_success_ci95_hi,solvable_before_rate,solvable_after_rate,mean_assumptions,mean_gauge,spice_valid_rate
v1_classical_directional,results/ablations/wire_method/classical,227d9fbb,ef3dd72bae01,190,canny(legacy),False,False,directional,0.1627,0.1396,0.1904,0.4334,0.4143,0.4555,0.0239,0.0106,0.0408,0.2784,0.2645,0.2914,0.0,0.0,0.0,0.2842,0.7579,5.8263,1.5789,0.9684
v1_crossover_null,results/ablations/wire_method/crossover_aware,227d9fbb,e3adc6d365fc,190,canny(legacy),False,True,directional,0.1644,0.1414,0.1922,0.4389,0.4201,0.4606,0.0239,0.0106,0.0408,0.2764,0.2621,0.2891,0.0,0.0,0.0,0.2737,0.7526,5.9105,1.5789,0.9737
v2_newpreproc,results/v2_newpreproc/classical,227d9fbb,ef3dd72bae01,190,canny(legacy),False,False,directional,0.2025,0.1741,0.2309,0.431,0.4016,0.4588,0.0362,0.0179,0.059,0.2546,0.2371,0.2721,0.0,0.0,0.0,0.4368,0.7737,5.1895,1.7,0.9526
v2_newpreproc_crossover,results/v2_newpreproc/crossover_aware,227d9fbb,e3adc6d365fc,190,canny(legacy),False,True,directional,0.2024,0.1738,0.2315,0.4362,0.4079,0.4635,0.0358,0.0176,0.0587,0.2481,0.2308,0.2649,0.0,0.0,0.0,0.4053,0.7684,5.2579,1.7,0.9684
v3_ink_boundary_snap,results/v3_boundary_snap,d98f76e8,ffff56772f28,190,ink,False,False,boundary,0.3985,0.3631,0.4342,0.5853,0.5535,0.6168,0.1424,0.1122,0.1748,0.2423,0.2234,0.2609,0.0263,0.0053,0.0526,0.3579,0.6895,4.0737,1.7,0.9684
v4_plus_stitching,results/v4_stitch,bfa31461,fa154340167e,190,ink,True,False,boundary,0.4319,0.3952,0.4704,0.6065,0.5733,0.6391,0.1737,0.1371,0.2117,0.2302,0.2112,0.2486,0.0526,0.0211,0.0842,0.3789,0.7211,3.9526,1.7,0.9632
v5_plus_crossover_DEFAULT,results/v5_stitch_crossover,bfa31461,0ec5f97fed29,190,ink,True,True,boundary,0.4626,0.425,0.499,0.6366,0.604,0.6664,0.1841,0.1447,0.2213,0.2188,0.1999,0.2372,0.0526,0.0211,0.0842,0.3526,0.7158,4.0421,1.7,0.9789
